title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution4.description,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,Available as bulk data download,Can be open,What is required to open,Estimate date of release
Local Authority Census," This census collects financial information on the activities of all 12 regional councils and 73 territorial authorities responsible for local government in New Zealand. In addition, data from the Auckland Regional Transport Authority (ARTA) is included.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Annual,,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/LEED/HOTPMar10qtr/LEEDMar10qtrHOTP.pdf,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/9a6701e3-f1d3-4480-b879-5eea7716979b,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Financial Statistics ,"This release presents annual accounting-based income, expenditure, and financial position information for each local authority in New Zealand",,https://creativecommons.org/licenses/by/4.0,"Fiscal, Local and Regional government, Local Authorities, Open Government, Tax and Economics",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Local%20authority%20financial%20statistics%2CInformation%20releases,Annual,State sector performance,,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/319be03d-287d-4384-993a-d38ef9acb3e6,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Statistics (quarterly),"Local authority statistics are quarterly  estimates of the money local authorities in New Zealand earn and spend on their core business. Local authorities include city councils, district councils, unitary authorities, and regional councils.  ",,https://creativecommons.org/licenses/by/4.0,"Fiscal, Local and Regional Government, Local Authorities, Open Government, Tax and Economics",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Local%20authority%20statistics%2CInformation%20releases,Quarterly,Local and regional government,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/LocalAuthorityFinancialStatistics/HOTPyeJun13/LocalAuthorityFinancialStatisticsyeJun13HOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f0e135ea-1e3b-466d-a4dd-5eb83238605c,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitudinal Immigration Study of New Zealand,International visitor arrivals to New Zealand provides monthly and annual data showing the number and characteristics of visitor arrivals.,,https://creativecommons.org/licenses/by/4.0,"Population, Migration, Demography, Education, Health, Settlement, Housing, Employment, Social, Living arrangement",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,,Population and society,2004/2010,,https://www.stats.govt.nz/assets/Uploads/Local-authority-statistics/Local-authority-statistics-March-2018-quarter/Download-data/local-authority-statistics-march-2018-quarter-tables.xlsx,,,,,,,,XLS,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/551e4107-6040-44fe-a5df-fde83989e6c1,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maori Population Estimates,"The census is used to provide an estimate of the Maori ethnic group living in New Zealand. This is based on the census usually resident population count of the Maori ethnic group with adjustments for Maori residents missed or counted more than once by the census, for Maori residents temporarily overseas on census night and for non-response to the census ethnicity question. ",,https://creativecommons.org/licenses/by/4.0,"Ethnic Population, Maori Population, Maori, Population, Estimates, Births, Deaths, Migration, Ethnic, M?ori",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=M%C4%81ori%20population%20estimates%2CInformation%20releases,Annual,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/LISNZ/HOTPWave3-2009/LISNZWave3-2009HOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/5b6313fc-3ce3-434e-8ee7-6bac79305e53,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marriages,Marriage statistics measure the number of marriages registered in New Zealand.,,https://creativecommons.org/licenses/by/4.0,"People and communities, Marriage, Marriage rate, Marital status, Vital statistics ",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Marriages%20civil%20unions%20and%20divorces%20statistics%2CInformation%20releases,Quarterly,Population and society,,,https://www.stats.govt.nz/assets/Uploads/Maori-population-estimates/Maori-population-estimates-Mean-year-ended-31-December-2017/Download-data/maori-population-estimates-mean-year-ended-31-december-2017.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/d6a624f0-82b4-4257-ae27-bbc6948657a5,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Accounts - Income and Expenditure,"This annual release provides information about income, expenditure, and saving for the six sectors of the economy:  non-financial businesses, financial businesses, general government, non-profit institutions serving households, households, and rest of the world. This replaces the Institutional Sector Accounts release. ",,https://creativecommons.org/licenses/by/4.0," Accounts,  Capital,  Investment,  Savings, Income",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20accounts%20%28income%20and%20expenditure%29%2CInformation%20releases,Annual,"Fiscal, tax and economics",,,https://www.stats.govt.nz/assets/Uploads/Marriages-civil-unions-and-divorces/Marriages-civil-unions-and-divorces-Year-ended-December-2017/Download-data/marriages-civil-unions-and-divorces-year-ended-december-2017-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/3ce0a555-6cae-4b38-ae40-82c9c30222fd,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National accounts - industry production and investment,"This annual release contains detailed industry data on production, investment, and capital stock. This release replaces Institutional Sector Accounts, which was discontinued in November 2012.",,https://creativecommons.org/licenses/by/4.0," Benchmarks,  Capital,  Expenditure,  Income,  Investment, Industry",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20accounts%20%28industry%20production%20and%20investment%29%2CInformation%20releases,Annual,"Fiscal, tax and economics",,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalAccountsIncomeExpenditure/HOTPYeMar16/naiemar16-consol-acc-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/48c58c28-4b3d-4a08-aa91-8af0f878c37d,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Accounts - Quarterlies,This release provides a snapshot of the performance of the economy. It uses production and expenditure based measures of GDP.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Quarterly,,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalAccountsIndustryBenchmarks/HOTPYeMar13/NationalAccountsIndustryBenchmarksYeMar13HOTP.pdf,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/9a9295f6-ce5f-4c71-8462-ba6dd01f4dc7,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Accounts (1994-2011),"The National Accounts releases provided statistics on economic aggregates such as gross domestic product, capital formation, and government and private consumption. This release has been discontinued. Content previously available in this release is now available in National Accounts (Income and Expenditure)",,https://creativecommons.org/licenses/by/4.0,"Economic Indicators, Fiscal, National Accounts, open government, tax and economics",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,,"Fiscal, tax and economics",1994/2011,,,,,,,,,,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Accounts input-output tables,"Input-output tables are a powerful analytical tool for describing the structure of New Zealand’s economy. They show the relationships between industries, the goods and services they produce, and who uses them.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Five-yearly,,2007/,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalAccounts/HOTPYeMar11/NationalAccountsYeMar11HOTP.pdf,,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Ethnic Population Projections,"These releases provide a summary of the projected M?ori, Pacific, Asian, and 'European or Other' ethnic populations of New Zealand, based on different combinations of fertility, mortality, migration, and inter-ethnic mobility assumptions.",,https://creativecommons.org/licenses/by/4.0,"Population, Ethnic, European, Maori, Asian, Pacific, M?ori",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20ethnic%20population%20projections%2CInformation%20releases,Irregular,Population and society,,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/5fe08b87-2d60-4b1a-82bb-0100de46286b,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Family and Household Projections,"These releases provide a summary of the projected number of families and households in New Zealand, by family type and household type, based on different combinations of fertility, mortality, migration, and living arrangement assumptions.",,https://creativecommons.org/licenses/by/4.0,"Population, Families, Households, Family, Household",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20family%20and%20household%20projections%2CInformation%20releases,Irregular,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalEthnicPopulationProjections/HOTP2013-38/NationalEthnicPopulationProjections2013-38HOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/20fcbd46-b0f7-4f49-9fc5-26cdbe35af03,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Labour Force Projections,"National Labour Force Projections provide projected labour force in New Zealand, based on different combinations of fertility, mortality, migration and labour force participation rates assumptions",,https://creativecommons.org/licenses/by/4.0,"Age Group, Estimated Labour Force, Gender, Projected Labour Force, Sex",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20labour%20force%20projections%2CInformation%20releases,Irregular,Employment,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalFamilyAndHouseholdProjections/HOTP2013base/NationalFamilyAndHouseholdProjections2013baseHOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/d3206c15-50ca-4e46-8324-e77221487f33,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Population Estimates,"These provide national population estimates, including quarterly and annual changes in the resident population, and estimated population numbers for selected age groups.",,https://creativecommons.org/licenses/by/4.0,"Births, Deaths, International migration, Population estimates, Base estimated resident population",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20population%20estimates%2CInformation%20releases,Quarterly,Population and society,,,https://www.stats.govt.nz/assets/Uploads/National-labour-force-projections/National-labour-force-projections-2017base2068/Download-data/National-labour-force-projections-2017base-2068-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/4c9f3523-5386-4ce0-a8bd-993bb905f119,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Population Projections,"National Population Projections provide projected populations of New Zealand, based on different combinations of fertility, mortality, and migration assumptions.",,https://creativecommons.org/licenses/by/4.0,"Migration,  Mortality, Fertility",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=National%20population%20projections%2CInformation%20releases,Irregular,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalPopulationEstimates/HOTPAt30Jun17/NationalPopulationEstimatesAt30Jun17HOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/583ca9da-d6d2-41e0-b626-5743c14deaf5,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Abridged Period Life Tables,Abridged period life tables for the total New Zealand male and female populations provide an indication of the trends in life expectancy between the construction of complete period life tables. Abridged life tables are available in February (provisional) and May (final) of each year.,,https://creativecommons.org/licenses/by/4.0,"Population and migration, Life Tables, Abridged, Subnational, Life expectancy, Period life tables, Survivorship, Age-specific death rates, Mortality rates",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%20abridged%20period%20life%20table%2CInformation%20releases,Annual,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NationalPopulationProjections/HOTP2016/npp16-table.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/eb6c62a6-cac8-4c8e-bd89-1fb1be2bc159,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Business Demography Statistics,"These releases provide an annual snapshot of the structure and characteristics of New Zealand businesses.  
Statistics produced include counts of enterprises and geographic units by industry, region, institutional sector, business type, degree of overseas ownership, enterprise births, enterprise deaths, survival rate of enterprises and employment levels. The series covers economically significant private-sector and public-sector enterprises that are engaged in the production of goods and services in New Zealand.",,https://creativecommons.org/licenses/by/4.0,"Businesses, Enterprises",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%20business%20demography%20statistics%2CInformation%20releases,Annual,Population and Society,,,https://www.stats.govt.nz/assets/Uploads/New-Zealand-abridged-period-life-table/New-Zealand-abridged-period-life-table-201517-provisional/Download-data/new-zealand-abridged-period-life-table-2015-17-provisional.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/bdb02aa2-866e-418f-83e8-342234867a0f,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Cohort Life Tables,"These compile detailed historical birth, death and migration data to produce life tables for each birth cohort (people born in each year) from 1876. ",,https://creativecommons.org/licenses/by/4.0,"Population and migration, Life Tables, Abridged, Subnational, Life expectancy, Period life tables, Survivorship, Age-specific death rates, Mortality rates",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%20cohort%20life%20tables%2CInformation%20releases,Annual,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/BusinessDemographyStatistics/HOTPFeb16/nzbds-2016-all-tables.xls,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/4f1a7d66-26bd-4236-97f4-64bbefe10bf6,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Energy Use Survey,"This survey collects statistics about the energy used by all types of New Zealand businesses, in the primary, industrial, trade, and services sectors. Organisations provide information on how much energy they use. The energy types include electricity, petrol, diesel, coal, natural gas, and renewable energy.",,https://creativecommons.org/licenses/by/4.0,"Diesel, Energy, Energy Prices, Hydro electricity, Hydroelectric Power, Hydroelectricity, Petrol, Petroleum, Renewable energy, Thermal Electricity Generation, Wind Power, Open Government
",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%20energy%20use%2CInformation%20releases,Annual,Energy,,,https://www.stats.govt.nz/assets/Uploads/New-Zealand-cohort-life-tables/New-Zealand-cohort-life-tables-March-2018-update/Download-data/male-complete-cohort-life-tables-1876-2016.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/68bca3d8-7ec6-45c8-acbb-b6dc336e6085,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Income Survey,This survey was discontinued in 2016. It provided income statistics alongside information about personal and household characteristics. This allowed for detailed information about the income of different groups and comparisons for groups across time. Some New Zealand Income Survey content has been integrated into the redeveloped Household Labour Force Survey.,,https://creativecommons.org/licenses/by/4.0," Fiscal,  Income,  Tax and economics,  minimum wage,  open government, Household Income",1997,01-06-2016,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Annual,"Fiscal, Tax and Economics",1997/2016,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/60252f6c-8057-49d5-9766-db880e27d00f,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/60252f6c-8057-49d5-9766-db880e27d00f,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Period Life Tables,"These complete period life tables indicate life expectancy and the mortality and survival experience at each single year of age for the total New Zealand, M?ori, non-M?ori, and Pacific male and female populations. They are typically derived every five years for a three-year period centred on a census year.",,https://creativecommons.org/licenses/by/4.0,"Population and migration, Life Tables, Abridged, Subnational, Life expectancy, Period life tables, Survivorship, Age-specific death rates, Mortality rates",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%20period%20life%20tables%2CInformation%20releases,Irregular,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NZIncomeSurvey/HOTPJun15qtr/NZIncomeSurveyJun15qtrHOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/a1c4a8f8-3cc1-46b3-aba5-31f5c582018a,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Subnational Abridged Period Life Tables,Abridged period life tables for the total New Zealand male and female populations in different areas of New Zealand (eg regional council and territorial authority areas) provide an indication of the trends in life expectancy between the construction of complete period life tables. Abridged life tables are available in February (provisional) and May (final) of each year.,,https://creativecommons.org/licenses/by/4.0,"Population and migration, Life Tables, Abridged, Subnational, Life expectancy, Period life tables, Survivorship, Age-specific death rates, Mortality rates",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Irregular,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/NZLifeTables/HOTP12-14/NZLifeTables12-14HOTP.pdf,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/35e1481b-6a62-4caf-b0d2-f6318c7aefd9,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-profit Institutions Satellite Account,This measures and analyses the contribution of non-profit institutions to New Zealand’s economy. It includes an estimate of the contribution volunteers make to their activities.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,,,2004/2013,,,,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare: to view & download time-series data,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/fdb0a51b-7313-4d5b-acaa-55d11c7179df,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ's Environmental Reporting Series,"Statistics and information about the state of the New Zealand’s environment, co-published by Statistics NZ and the Ministry for the Environment.",,https://creativecommons.org/licenses/by/4.0,"Air, Environment",,18-10-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=New%20Zealand%27s%20environmental%20reporting%20series%2CInformation%20releases,Every six months,,2015/2017,,https://data.mfe.govt.nz/data/category/environmental-reporting/air/,Air data dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overseas Investment in New Zealand Real Estate Individual Property,The Overseas Investment in New Zealand Real Estate Individual Property was part series of Annual Capital Accounts. The Annual Capital Accounts collected and published information about financial transactions and overseas ownership/equity relationships between New Zealand enterprises and the rest of the world.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,,,,,,,,,,"http://www.stats.govt.nz/infoshare/
",Use Infoshare to view and download time-series data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overseas Merchandise Trade,This information release provides statistical information on the importing and exporting of merchandise goods between New Zealand and other countries. Merchandise trade includes goods which add to or subtract from the material resources in New Zealand as a result of their movement in or out of the country. Data is obtained from the New Zealand Customs Service.,,https://creativecommons.org/licenses/by/4.0,"Cargo, Commerce, Exports, GDP, Imports, Merchandise Trade, NZ Customs, Overseas Trade, Trade, Agriculture, Agriculture Imports, Exports as GDP, Fire Extinguishers, Fireworks, Import, Import Export Directory, Importa and Exports by Category, Meat, Milk Powder, Mussels, Oil Gas, Open Government, Pyrotechnics, Tariff, Trade and Industry, Trophy",,,Statistics NZ,info@stats.govt.nz,Trade data team,0508 525 525,overseastrade@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Overseas%20merchandise%20trade%2CInformation%20releases,Monthly,"Commerce, trade and industry",1990/2018-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overseas Trade Indexes (Prices and Volumes),These releases provide information on how import and export prices and volume levels have changed between time periods. They measure changes in the levels of prices of imports and exports of services trade between New Zealand and the rest of the world.,,https://creativecommons.org/licenses/by/4.0,"Beverages, Capital Goods, Clothing and Footwear, Electrical Machinery, Exchange Rates, Exports, Fish, Food, Forestry, Government Services, Imports, Iron and Steel, Mechanical Machinery, Merchandise, Non-Food Manufactures, Non-Fuel Crude Materials, Petroleum, Plastic, Textiles, Transport Equipment, Transportation, Travel",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Overseas%20trade%20indexes%20%28prices%20and%20volumes%29%2CInformation%20releases,Quarterly,"Commerce, trade and industry",,,http://archive.stats.govt.nz/browse_for_stats/industry_sectors/imports_and_exports/overseas-merchandise-trade/HS10-by-country.aspx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/6ed114da-3571-40d4-a89f-932068a4c753,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productivity Measures Statistics,Productivity statistics measure how efficiently inputs (capital and labour) are used within the economy to produce outputs. ,,https://creativecommons.org/licenses/by/4.0,"Economy, Industries, Productivity",22-03-2017,22-02-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,productivity@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Productivity%20statistics%2CInformation%20releases,Annual,"Fiscal, tax and economics",1978/2017,,https://www.stats.govt.nz/assets/Uploads/Overseas-merchandise-trade/Overseas-merchandise-trade-April-2018/Download-data/overseas-merchandise-trade-April-2018.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Property Transfer,"Property transfer statistics summarise the citizenship or visa status and tax residency of buyers and sellers of homes and land in New Zealand. They are are used to monitor tax obligations, and inform housing policy.",https://www.stats.govt.nz/publications?filters=Property%20transfer%20statistics%2CInformation%20releases,https://creativecommons.org/licenses/by/4.0,"Dwellings, Land, Specified Estate in Land, Overseas People",07-06-2018,08-02-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Property%20transfer%20statistics%2CInformation%20releases,Quarterly,,2013/,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/88b62a7f-7ce9-4c97-821e-e7d9505ef55e,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Property-transfer-statistics/Property-transfer-statistics-December-2018-quarter/Download-data/property-transfer-statistics-december-2018-quarter-tables-csv.zip,December 2018 quarter data,,ZIP,2.9MB,www.stats.govt.nz/infoshare,Infoshare data tool,Select Subject category: People and communities followed by Group: Property transfer statistics - PTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ready-mixed concrete, secondary production",,,https://creativecommons.org/licenses/by/4.0,,,08-02-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Ready-mixed%20concrete%20secondary%20production%20%28SEP%29%2CInformation%20releases,Quarterly,,1992/2018,,www.stats.govt.nz/infoshare,Infoshare online tool,"Select Subject category: Industry sectors , and select Group: Secondary Production- SEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Regional Economic Indicator,"The Regional Economic Indicator (REI) was an experimental time series, produced quarterly.  The REI produced GST Sales and GST Purchases at Regional Council Level by Industry and by Industrial sector. GST administrative data sourced from the Business Activity Indicator (BAI) is allocated to regional council level using business frame, business demography and meshblock data.  The REI was published in the Quarterly Regional Review, a customised output, offered to customers by subscription.  Data is also available directly on request.  The REI series is used by local government, economists, industry analysts and researchers.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Quarterly,,,,,,,,,"http://www.stats.govt.nz/infoshare/
",Use Infoshare to view and download time-series data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Gross Domestic Product,Regional gross domestic product (regional GDP) provides a breakdown of national-level GDP by regions. GDP is New Zealand's official measure of economic activity.,,https://creativecommons.org/licenses/by/4.0,"Economy, Gross domestic product, Industries, National accounts",30-03-2017,21-03-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Regional%20gross%20domestic%20product%2CInformation%20releases,Annual,"Fiscal, tax and economics",2000-03/2017-03,,http://datainfoplus.stats.govt.nz/Item/example.org/3fd75697-5f34-4b49-aace-f961203ec6d2,Metadata,,,,,,,,,http://www.stats.govt.nz/infoshare/,Infoshare data tool,Subject category: Economic indicators and Group: Regional gross domestic product - RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Research and Development Survey,"These releases provide information on research and development (R&D) in New Zealand, including level of R&D activity, employment, and expenditure by private sector enterprises, government departments, government-owned trading entities, and universities.",,https://creativecommons.org/licenses/by/4.0,Gross domestic product,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Research%20and%20development%20survey%2CInformation%20releases,Biennial,Science and research,,,https://www.stats.govt.nz/assets/Uploads/Regional-gross-domestic-product/Regional-gross-domestic-product-Year-ended-March-2017/Download-data/regional-gross-domestic-product-ye-mar17-csv-tables.csv,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/example.org/3fd75697-5f34-4b49-aace-f961203ec6d2,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Trade Survey,The Retail Trade Survey measures the sales turnover and stock levels of a wide range of businesses that provide household and personal goods and services. This data is used to provide short-term economic indicators of the retail trade sector.,,https://creativecommons.org/licenses/by/4.0,Industries,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Retail%20trade%20survey%2CInformation%20releases,Quarterly,"Commerce, trade and industry",,,https://www.stats.govt.nz/assets/Uploads/Regional-gross-domestic-product/Regional-gross-domestic-product-Year-ended-March-2017/Download-data/regional-gross-domestic-product-ye-mar17-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/4394653f-7947-487b-b0c7-dd48edb45822,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
